host-to-dram,read,1,0.072861,0.008804
host-to-dram,write,1,0.098582,0.011202
host-to-dram,read,2,0.072320,0.007345
host-to-dram,write,2,0.098672,0.011059
host-to-dram,read,4,0.073379,0.009733
host-to-dram,write,4,0.099161,0.011841
host-to-dram,read,8,0.073638,0.008294
host-to-dram,write,8,0.098633,0.010681
host-to-dram,read,16,0.074983,0.011701
host-to-dram,write,16,0.097552,0.007189
host-to-dram,read,32,0.073009,0.008056
host-to-dram,write,32,0.098915,0.009270
host-to-dram,read,64,0.074582,0.010565
host-to-dram,write,64,0.099758,0.009186
host-to-dram,read,128,0.074797,0.008341
host-to-dram,write,128,0.102848,0.011465
host-to-dram,read,256,0.077297,0.009602
host-to-dram,write,256,0.108618,0.012440
host-to-dram,read,512,0.079955,0.008833
host-to-dram,write,512,0.122730,0.013867
host-to-dram,read,1024,0.161124,0.013737
host-to-dram,write,1024,0.203475,0.007102
host-to-dram,read,2048,0.313900,0.015433
host-to-dram,write,2048,0.348990,0.014780
host-to-dram,read,4096,0.671084,0.152306
host-to-dram,write,4096,0.649081,0.019881
host-to-dram,read,8192,1.249542,0.013144
host-to-dram,write,8192,1.252362,0.028008
host-to-dram,read,16384,2.479315,0.024081
host-to-dram,write,16384,2.417124,0.026855
host-to-dram,read,32768,4.971506,0.056451
host-to-dram,write,32768,4.731297,0.032352
host-to-dram,read,65536,9.912128,0.154104
host-to-dram,write,65536,9.366794,0.045004
host-to-dram,read,131072,19.981095,0.395262
host-to-dram,write,131072,18.665458,0.073295
host-to-dram,read,262144,41.261152,0.483902
host-to-dram,write,262144,37.279497,0.159992
host-to-dram,read,524288,82.521351,0.613486
host-to-dram,write,524288,75.015818,0.786727
host-to-dram,read,1048576,165.042680,1.167595
host-to-dram,write,1048576,150.561217,0.790651
host-to-dram,read,2097152,329.640056,2.805618
host-to-dram,write,2097152,300.955575,1.844754
host-to-dram,read,4194304,657.731049,6.321932
host-to-dram,write,4194304,597.381797,9.444282
host-to-dram,read,8388608,1306.561026,9.766362
host-to-dram,write,8388608,1202.432104,16.687403
host-to-dram,read,16777216,2613.997171,19.687430
host-to-dram,write,16777216,2384.540592,21.982095
host-to-dram,read,33554432,5229.469624,36.910305
host-to-dram,write,33554432,4749.119110,16.510198
host-to-dram,read,67108864,10463.249941,88.112332
host-to-dram,write,67108864,9660.316043,299.540593
host-to-dram,read,134217728,20943.913170,153.150695
host-to-dram,write,134217728,19062.597128,63.220624
host-to-dram,read,268435456,41951.532316,321.161898
host-to-dram,write,268435456,38142.363512,257.037968
fpga-to-dram,read,1,0.000238,0.000088
fpga-to-dram,write,1,0.000154,0.000080
fpga-to-dram,read,2,0.000256,0.000083
fpga-to-dram,write,2,0.000153,0.000068
fpga-to-dram,read,4,0.000264,0.000079
fpga-to-dram,write,4,0.000162,0.000077
fpga-to-dram,read,8,0.000285,0.000088
fpga-to-dram,write,8,0.000179,0.000077
fpga-to-dram,read,16,0.000328,0.000091
fpga-to-dram,write,16,0.000210,0.000080
fpga-to-dram,read,32,0.000397,0.000105
fpga-to-dram,write,32,0.000292,0.000112
fpga-to-dram,read,64,0.000536,0.000119
fpga-to-dram,write,64,0.000432,0.000127
fpga-to-dram,read,128,0.000823,0.000153
fpga-to-dram,write,128,0.000748,0.000166
fpga-to-dram,read,256,0.001376,0.000177
fpga-to-dram,write,256,0.001367,0.000204
fpga-to-dram,read,512,0.002530,0.000192
fpga-to-dram,write,512,0.002570,0.000214
fpga-to-dram,read,1024,0.004809,0.000152
fpga-to-dram,write,1024,0.005058,0.000198
fpga-to-dram,read,2048,0.009375,0.000188
fpga-to-dram,write,2048,0.009941,0.000220
fpga-to-dram,read,4096,0.018454,0.000220
fpga-to-dram,write,4096,0.019847,0.000227
fpga-to-dram,read,8192,0.036834,0.000200
fpga-to-dram,write,8192,0.039490,0.000159
fpga-to-dram,read,16384,0.073353,0.000190
fpga-to-dram,write,16384,0.078761,0.000250
fpga-to-dram,read,32768,0.146518,0.000206
fpga-to-dram,write,32768,0.157466,0.000224
fpga-to-dram,read,65536,0.292742,0.000045
fpga-to-dram,write,65536,0.314650,0.000303
fpga-to-dram,read,131072,0.585220,0.000110
fpga-to-dram,write,131072,0.629209,0.000496
fpga-to-dram,read,262144,1.170273,0.000142
fpga-to-dram,write,262144,1.258618,0.000585
fpga-to-dram,read,524288,2.340346,0.000154
fpga-to-dram,write,524288,2.516603,0.000988
fpga-to-dram,read,1048576,4.680471,0.000161
fpga-to-dram,write,1048576,5.033568,0.001048
fpga-to-dram,read,2097152,9.360492,0.000262
fpga-to-dram,write,2097152,10.065516,0.001606
fpga-to-dram,read,4194304,18.720717,0.000451
fpga-to-dram,write,4194304,20.132298,0.001500
fpga-to-dram,read,8388608,37.441262,0.000363
fpga-to-dram,write,8388608,40.265566,0.003030
fpga-to-dram,read,16777216,74.882398,0.000809
fpga-to-dram,write,16777216,80.529172,0.004975
fpga-to-dram,read,33554432,149.764402,0.001085
fpga-to-dram,write,33554432,161.057326,0.006881
fpga-to-dram,read,67108864,299.527351,0.001400
fpga-to-dram,write,67108864,322.118113,0.010785
fpga-to-dram,read,134217728,599.056157,0.002662
fpga-to-dram,write,134217728,644.241689,0.008526
fpga-to-dram,read,268435456,1198.113586,0.002891
fpga-to-dram,write,268435456,1288.476106,0.015232
